,DSSTox_CID,FW,Formula,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,smiles,smiles_parent,NumAtoms
2944,1667,280.7407,C2HBr3O,0.0,,0.0,,,1.0,1.0,1.0,1.0,1.0,,,O=CC(Br)(Br)Br,O=CC(Br)(Br)Br,6
2945,26648,412.6047,C27H40O3,0.0,,0.0,0.0,0.0,0.0,,,0.0,,1.0,,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)/C=C/[C@@H](O)C2CC2)C[C@@H](O)C[C@@H]1O,30
2946,23915,428.6041,C27H40O4,,,0.0,,,0.0,,1.0,0.0,1.0,,0.0,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,31
2947,274,404.9270,C23H29ClO4,1.0,1.0,0.0,,,0.0,0.0,,0.0,,,1.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,28
2948,2742,513.4933,C26H27NO10,0.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,37
2949,2742,513.4933,C26H27NO10,0.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(O)cccc1C3=O,37
2950,26210,406.4876,C23H31FO5,1.0,,,,1.0,,0.0,,0.0,,0.0,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,29
2951,21115,877.0307,C47H64N4O12,0.0,0.0,0.0,,,0.0,,,0.0,,1.0,,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C6CCCC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,63
2952,26236,258.2693,C15H14O4,0.0,0.0,1.0,,,0.0,,,0.0,,,1.0,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,CC(=O)Oc1cc(C)c(OC(C)=O)c2ccccc12,19
2953,2901,434.4977,C24H31FO6,1.0,1.0,,,0.0,,0.0,,,,0.0,0.0,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,CC(=O)OCC(=O)[C@@]1(O)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,31
2954,28560,532.6407,C30H41FO7,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,38
2955,26751,564.8200,C31H52N2O5S,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,39
2956,20625,1664.8868,C72H85N19O18S5,0.0,0.0,0.0,,0.0,,1.0,,1.0,,,1.0,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)/C(=C\C)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O,C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)C4NC(=O)c5csc(n5)C(C(C)(O)C(C)O)NC(=O)C5CSC(=N5)/C(=C\C)NC(=O)C(C(C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)NC2C=Cc3c(C(C)O)cc(nc3C2O)C(=O)OC4C)n1)C(N)=O,114
2957,26624,385.3707,C19H19N3O6,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,COC(=O)C1=C(C#N)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,28
2958,28656,521.0422,C28H37ClO7,1.0,1.0,,,0.0,,,,0.0,,1.0,0.0,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C,36
2959,26175,394.4537,C20H21F3N2OS,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,CCN(CC)CCC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CCN(CC)CCC(=O)N1c2ccccc2Sc2ccc(C(F)(F)F)cc21,27
2960,3128,356.4818,C20H24N2O2S,0.0,1.0,1.0,,,0.0,,,0.0,,,1.0,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,25
2961,27775,533.9548 (497.4939+36.4609),C26H28ClNO9,0.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O.Cl,CC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)C1)C(=O)c1ccccc1C3=O,36
2962,17185,681.7725 (645.3116+36.4609),C25H30ClI2NO3,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,31
2963,4616,252.0339,C10H10Cl2V,0.0,,0.0,,0.0,,,1.0,0.0,,0.0,,Cl[V](Cl)(C1C=CC=C1)C1C=CC=C1,C1=CCC=C1,5
2964,12315,282.2298,C11H17Cl2NOS,0.0,,0.0,,,0.0,0.0,,0.0,1.0,,1.0,CCCCCCCCn1sc(Cl)c(Cl)c1=O,CCCCCCCCn1sc(Cl)c(Cl)c1=O,16
2965,25375,454.9593,C24H32ClFO5,1.0,0.0,,,0.0,,0.0,,0.0,,,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CCl)O1,31
2966,5138,150.1778,C8H10N2O,0.0,1.0,1.0,,,0.0,,,1.0,1.0,0.0,,CN(C)c1ccc(N=O)cc1,CN(C)c1ccc(N=O)cc1,11
2967,23881,280.4073,C19H24N2,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2ccccc21,21
2968,2949,255.3547,C17H21NO,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,CN(C)CCOC(c1ccccc1)c1ccccc1,CN(C)CCOC(c1ccccc1)c1ccccc1,19
2969,3756,331.8596,C18H18ClNOS,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21,22
2970,3658,443.6253,C23H29N3O2S2,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,CN1CCN(CCC=C2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,30
2971,26322,611.7305,C35H41N5O5,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,45
2972,2851,343.8736,C18H18ClN3S,0.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,CN1CCN(C2=Nc3ccccc3Sc3ccc(Cl)cc32)CC1,23
2973,25584,491.4581 (296.2445+195.2136),C21H28F3N3O7,0.0,,,,,0.0,0.0,,0.0,,1.0,0.0,CNC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,Cc1c(Nc2ncccc2C(=O)O)cccc1C(F)(F)F,21
2974,28668,400.3787,C21H20O8,0.0,,1.0,0.0,0.0,,,,1.0,,1.0,1.0,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,29
2975,1237,608.6787,C33H40N2O9,0.0,0.0,1.0,,,1.0,,,0.0,,,0.0,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,44
2976,14609,437.1478,C12H4Cl2F6N4OS,0.0,0.0,0.0,,,0.0,0.0,,0.0,,,,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,26
2977,3673,397.5089,C22H24FN3OS,0.0,0.0,1.0,1.0,,0.0,,,,,0.0,0.0,O=C(CCCN1CCC(n2c(=S)[nH]c3ccccc32)CC1)c1ccc(F)cc1,O=C(CCCN1CCC(n2c(=S)[nH]c3ccccc32)CC1)c1ccc(F)cc1,28
2978,28874,407.4671,C25H21N5O,0.0,,0.0,0.0,0.0,,0.0,,0.0,,1.0,,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1,31
2979,27295,385.3080,C17H18Cl2N2O2S,0.0,0.0,0.0,,,0.0,,,0.0,0.0,1.0,,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,24
2980,2947,352.4651,C20H32O5,0.0,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,25
2981,27371,402.4607,C25H23FN2O2,0.0,,0.0,,,0.0,0.0,1.0,0.0,,0.0,,NCc1cccc(C2CCN(C(=O)c3ccc(C#Cc4ccccc4F)o3)CC2)c1,NCc1cccc(C2CCN(C(=O)c3ccc(C#Cc4ccccc4F)o3)CC2)c1,30
2982,22243,353.5393,C21H39NO3,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,,0.0,,CCCCCCCC/C=C\CCCCCCCC(=O)N(C)CC(=O)O,CCCCCCCC/C=C\CCCCCCCC(=O)N(C)CC(=O)O,25
2983,8038,281.0909,C8H12INO2,0.0,0.0,0.0,,,0.0,,,0.0,,1.0,1.0,CCCCNC(=O)OCC#CI,CCCCNC(=O)OCC#CI,12
2984,25081,283.2787 (138.1207+145.1580),C16H13NO4,0.0,0.0,0.0,,1.0,1.0,,,0.0,,,,O=C(O)c1ccccc1O.Oc1cccc2cccnc12,Oc1cccc2cccnc12,11
2985,28890,460.5168,C25H32O8,1.0,1.0,,,,0.0,0.0,,,,0.0,0.0,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O,33
2986,8015,300.3475,C15H24O6,0.0,1.0,0.0,,,1.0,1.0,,1.0,,,,C=CC(=O)OCC(C)OCC(C)OCC(C)OC(=O)C=C,C=CC(=O)OCC(C)OCC(C)OCC(C)OC(=O)C=C,21
2987,20672,299.3476,C15H13N3O2S,0.0,1.0,1.0,,0.0,,0.0,,1.0,,,1.0,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,COC(=O)Nc1nc2cc(Sc3ccccc3)ccc2[nH]1,21
2988,2563,265.3314,C12H15N3O2S,0.0,,1.0,,1.0,,0.0,,1.0,,1.0,1.0,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,18
2989,6107,302.3203,C14H22O7,0.0,1.0,0.0,,,,1.0,1.0,1.0,,0.0,,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,C=CC(=O)OCCOCCOCCOCCOC(=O)C=C,21
2990,103,395.6828,As4O6,1.0,1.0,0.0,0.0,1.0,0.0,,,0.0,,0.0,,O1[As]2O[As]3O[As]1O[As](O2)O3,O1[As]2O[As]3O[As]1O[As](O2)O3,10
2991,6181,449.9201,C13H8Br3NO2,0.0,0.0,1.0,0.0,,0.0,,,0.0,,1.0,1.0,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,19
2992,2360,206.3239,C14H22O,0.0,,0.0,,1.0,1.0,0.0,,0.0,,1.0,,CC(C)(C)CC(C)(C)c1ccc(O)cc1,CC(C)(C)CC(C)(C)c1ccc(O)cc1,15
2993,7925,206.3239,C14H22O,0.0,,0.0,,1.0,1.0,,0.0,0.0,,1.0,,CC(C)(C)CC(C)(C)c1ccccc1O,CC(C)(C)CC(C)(C)c1ccccc1O,15
2994,26101,376.3588,C22H16O6,0.0,,0.0,0.0,,0.0,0.0,,0.0,,1.0,1.0,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O,28
2995,1184,360.4440,C21H28O5,1.0,1.0,,,0.0,,0.0,,,,0.0,0.0,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,26
2996,202,430.5339,C25H34O6,1.0,,0.0,,0.0,,0.0,,,,0.0,0.0,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,31
2997,25534,434.4977,C24H31FO6,1.0,0.0,0.0,,0.0,,0.0,,,,,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,31
2998,27434,436.5136,C24H33FO6,1.0,0.0,,,0.0,,0.0,,,,0.0,0.0,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,31
2999,2814,1017.6363 (22.9892+22.9892+971.6579),C20H2Cl4I4Na2O5,1.0,0.0,1.0,0.0,,0.0,0.0,,0.0,,,,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12.[Na+].[Na+],O=C(O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c(O)c(I)cc12,33
3000,1270,400.0155 (354.0371+22.9892+22.9892),C12H4Cl4Na2O2S,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-],Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,19
3001,99,363.2536 (340.2643+22.9892),C17H10NNaO7,0.0,,,,,0.0,,1.0,0.0,0.0,1.0,1.0,COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)[O-])cc3c(c12)OCO3.[Na+],COc1cccc2c1cc([N+](=O)[O-])c1c(C(=O)O)cc3c(c12)OCO3,25
3002,3145,774.9628 (22.9892+751.9736),C43H47N2NaO6S2,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,CC1(C)C(/C=C\C=C/C=C\C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21.[Na+],CC1(C)C(/C=C\C=C/C=C\C=C2\N(CCCCS(=O)(=O)O)c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,53
3003,26577,576.6164 (553.6271+22.9892),C27H25N2NaO7S2,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2c(O)c(S(=O)(=O)[O-])cc3cc(S(=O)(=O)[O-])ccc23)cc1.[Na+],CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2c(O)c(S(=O)(=O)O)cc3cc(S(=O)(=O)[O-])ccc23)cc1,38
3004,2959,444.5583 (421.5691+22.9892),C20H37NaO7S,0.0,1.0,0.0,,1.0,0.0,,,0.0,,,,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,28
3005,28130,149.1467,C8H7NO2,0.0,1.0,0.0,,0.0,0.0,,,,1.0,,1.0,O=[N+]([O-])C=Cc1ccccc1,O=[N+]([O-])C=Cc1ccccc1,11
3006,1462,474.1608 (204.3765+204.3765+65.4079),C18H36N2S4Zn,0.0,0.0,0.0,0.0,,1.0,0.0,,1.0,,,1.0,CCCCN(CCCC)C(=S)[S-].CCCCN(CCCC)C(=S)[S-].[Zn+2],CCCCN(CCCC)C(=S)S,12
3007,2079,488.5915,C6HBr5O,0.0,0.0,1.0,,,0.0,,,0.0,,1.0,,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,12
3008,26417,254.1231,C11H12BrNO,0.0,,,,,0.0,0.0,,0.0,,0.0,0.0,CCNC(=O)/C=C/c1cccc(Br)c1,CCNC(=O)/C=C/c1cccc(Br)c1,14
3009,24936,423.3740,C18H21N3O9,0.0,1.0,0.0,,,1.0,1.0,,1.0,,0.0,,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,C=CC(=O)OCCn1c(=O)n(CCOC(=O)C=C)c(=O)n(CCOC(=O)C=C)c1=O,30
3010,3764,252.3093,C20H12,0.0,1.0,1.0,,,,1.0,1.0,,,,1.0,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,c1ccc2c(c1)c1cccc3ccc4cccc2c4c31,20
3011,28158,396.5192,C25H32O4,1.0,,0.0,,0.0,,0.0,,0.0,,,0.0,C=C1C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,C=C1C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]2(C)[C@@]1(OC(C)=O)C(C)=O,29
3012,20683,384.5085,C24H32O4,1.0,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,28
3013,2370,314.4617,C21H30O2,1.0,1.0,0.0,,,,,,0.0,0.0,,0.0,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,23
3014,1071,340.4559,C22H28O3,1.0,1.0,0.0,,1.0,1.0,,,,,0.0,0.0,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,25
3015,3411,401.4114,C24H19NO5,0.0,0.0,,,,0.0,,,0.0,,1.0,1.0,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1,30
3016,14586,359.4096,C21H23F2NO2,0.0,0.0,1.0,,,0.0,,1.0,0.0,,,0.0,CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,26
3017,28553,720.9442,C37H48N6O5S2,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,0.0,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,50
3018,28576,316.3748,C16H16N2O3S,1.0,,1.0,,,0.0,0.0,,1.0,,,0.0,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,Cc1nc(-c2ccc(OCC(C)C)c(C#N)c2)sc1C(=O)O,22
3019,5485,226.3168,C15H18N2,0.0,,,,,0.0,0.0,1.0,0.0,,,1.0,CC(C)Nc1ccc(Nc2ccccc2)cc1,CC(C)Nc1ccc(Nc2ccccc2)cc1,17
3020,25706,259.3467,C15H21N3O,0.0,0.0,1.0,,,0.0,0.0,,,,,1.0,COc1cc(NCCCC(C)N)c2ncccc2c1,COc1cc(NCCCC(C)N)c2ncccc2c1,19
3021,25409,261.7036,C14H12ClNO2,0.0,,0.0,0.0,0.0,0.0,,,0.0,,1.0,1.0,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,18
